,Sentence
460,அவரது மதச்சார்பின்மை நம்பகத்தன்மைக்கு உகந்தத்ஆக இல்லை என்ற்உம் அவர் கூறினார் .
461,பிகார் சட்டப்பேரவைத் தேர்தலைய்ஒட்டி கோதா மற்றும் சிக்தி ஆகிய இடங்களில் வியாழக்கிழமை நடைபெற்ற தேர்தல் பிரசாரத்தில் பேசும் போது அவர் இவ்வாறு கூறினார் .
462,பாஜகவ்உடன் கூட்டணி வைத்த்இருக்கிறீர்கள் .
463,ஒரு தலைவர் ( மோடி ) இங்கு வந்து பிரசாரம் செய்து விடக் கூடாது என்று அஞ்சுகிறீர்கள் .
464,பின்னர் எப்படி உங்கள் மதச்சார்பின்மையை நம்புவது என்று அவர் கேள்வி எழுப்பினார் .
465,பிகாரில் வகுப்புவாத அரசியலுக்கு முற்றுப்புள்ளி வைக்க காங்கிரஸ் விரும்புகிறது .
466,"ஆளும் ஐக்கிய ஜனதாதளம் - பாஜக கூட்டணிய்ஆனால்உம் சரி அல்லது ராஷ்ட்ரீய ஜனதாதளம் - லோக் ஜனசக்தி கூட்டணிய்ஆனால்உம் சரி இவை இரண்ட்உம்ஏ மத , ஜாதி அரசியலை முன்னிறுத்தி அரசியல் லாபம் அடைய முயல்கின்றன ."
467,"ஆனால் நாங்கள் ( காங்கிரஸ் ) மத , ஜாதி அரசியலை கடுமையாக எதிர்க்கிறோம் ."
468,நாங்கள் சமூக நீதியைய்உம் சமதர்மத்தைய்உம் சமமான வளர்ச்சியைய்உம் முன்னிறுத்தி பிரசாரம் செய்கிறோம் .
469,"ஏழை , பணக்காரர் , ஹிந்து , முஸ்லிம் , சீக்கியர் , கிறிஸ்தவர் என எல்லோருக்க்ஆகவ்உம் பாடுபடும் கட்சி காங்கிரஸ் ."
470,இவர்களுக்க்ஆன கட்சி என்று காங்கிரசுக்கு முத்திரை குத்த முடியாது என்றார் ராகுல் .
471,அதனால் தான் பிகாரில் அனைத்துத் தொகுதிகளில்உம் தனித்துப் போட்டியிடுகிறோம் .
472,தனித்துப் போட்டியிடுவது தொடக்கத்தில் சிரமமானது என்று எனக்குத் தெரியும் .
473,ஆனால் தொடர்ந்து போராடுவோம் .
474,வளர்ச்சிக்க்ஆக போராடுவோம் .
475,இளைஞர்கள் பங்கு பெறும் அரசை அமைக்க தொடர்ந்து போராடுவோம் என்றார் அவர் .
476,தேசிய ஊரக வேலை வாய்ப்பு உறுதித் திட்டம் போன்ற சிறந்த மத்திய திட்டங்கள் பிகாரில் ஊழல் காரணம்ஆக சிறப்பாக அமல்படுத்தப் படவ்இல்லை என்று அவர் குற்றம்சாட்டினார் .
477,பல்வேறு மத்திய திட்டங்களுக்க்ஆக 1 லட்சம் கோடி பிகாருக்கு அளிக்கப் படுகிறது .
478,"ஆனால் துரதிருஷ்டவசமாக இந்த நிதி ஏழைகளை , தேவையுள்ளோரை போய் சென்றடையவ்இல்லை என்றார் அவர் ."
479,தேசிய ஜனநாயகக் கூட்டணி ஆட்சியை ஒப்பிடும் போது காங்கிரஸ் கட்சி பிகார் மாநில வளர்ச்சிக்கு அதிகம் செய்த்உள்ளது .
480,பிகார்இலிருந்து ஏராளமான இளைஞர்கள் வேலை தேடி வெளி மாநிலங்களுக்கு குடிபெயர்ந்து வருகின்றனர் .
481,மத்திய திட்டங்கள் முறையாக அமல்படுத்தப் பட்டால் பிகார்இலிருந்து இளைஞர்கள் குடிபெயர்வது தடுக்கப் படும் என்றார் ராகுல் .
482,உத்தரப் பிரதேசத்தில் காங்கிரஸ் கட்சியைப் பலப்படுத்த நான் எடுத்த முயற்சிகளுக்கு பலன் கிடைக்காது என்று என்ன் இடம் பலர் தெரிவித்தனர் .
483,ஆனால் நான் நம்பிக்கையோடு கட்சியை பலப்படுத்துவதற்க்ஆன நடவடிக்கைகளை மேற்கொண்டேன் .
484,அதற்கு கடந்த சட்டப்பேரவைத் தேர்தலில் பலன்கிட்டியது .
485,கட்சி வெற்றி பெற்றத்ஓடு ஆட்சியில் உள்ள கட்சிக்கு ஒரு மாற்றுக் கட்சியாக வளர்ந்த்உள்ளது .
486,அதுபோன்று பிகாரில்உம் காங்கிரஸ் வெற்றி பெறும் என்ற நம்பிக்கை எனக்கு உள்ளது .
487,மக்கள் காங்கிரஸ் கட்சி மீது மிகுந்த நம்பிக்கை வைத்த்உள்ளனர் .
488,பிகாரில் கடந்த 20 ஆண்டுகள்ஆக தேங்கிக் கிடக்கும் வளர்ச்சியை மீண்டும் ஏற்படுத்த காங்கிரஸ் எல்லா முயற்சிகளை மேற்கொள்ளும் என்றார் .
489,ஐ.பி.எல். அமைப்பின் முன்னாள் ஆணையர் லலித் மோடி உள்ளிட்ட 7 பேர் மீது 5 பிரிவுகளின் கீழ் சென்னை மாநகரப் போலீஸார் வழக்குப் பதிவு செய்த்உள்ளனர் .
490,20 ஓவர் கிரிக்கெட் போட்டிகள் நடத்துவதற்க்ஆக ஏற்படுத்தப்பட்ட ஐபிஎல் அமைப்பின் ஆணையர்ஆக இருந்தவர் லலித் மோடி .
491,இவர் 2009 ஜனவரி முதல் 2010 ஜூன் மாதம் வரை பதவியில் இருந்த போது பல்வேறு மோசடிகள் செய்தத்ஆக புகார் எழுந்தன .
492,"இது தொடர்பாக இந்திய கிரிக்கெட் கட்டுப்பாட்டு வாரியத்தின் கௌரவ செயலாளர் என். சீனிவாசன் , சென்னை மாநகர போலீஸ் கமிஷனர் டி. ராஜேந்திரனை புதன்கிழமை நேரில் சந்தித்து புகார் மனு ஒன்றை அளித்தார் ."
493,"அதில் , ஐபிஎல் கிரிக்கெட் போட்டிகளின் போது , ஊடக உரிமைகள் வழங்கியது , விளம்பரங்கள் ஒளிபரப்ப நேரம் ஒதுக்கியது , பாதுகாப்பு ஏற்பாடுகள் செய்தது ஆகியவற்றில் லலித் மோடி குறிப்பிட்ட சிலருக்கு ஆதரவ்ஆக செயல்பட்டு மோசடி செய்தத்ஆக குறிப்பிடப்பட்ட்இருந்தது ."
494,இதன் மூலம் ரூ. 470 கோடிக்கு மோசடி நடைபெற்ற் உள்ளத்ஆகவ்உம் அந்த புகாரில் தெரிவிக்கப்பட்ட்இருந்தது .
495,"இந்த வழக்கை , மாநகர மத்திய குற்றப் பிரிவுக்கு மாற்றி கமிஷனர் ராஜேந்திரன் புதன்கிழமை உத்தரவிட்டார் ."
496,"இதையடுத்து , புகார் மனுவில் குறிப்பிடப்பட்ட்உள்ள விவரங்கள் மற்றும் ஆவணங்களை அடிப்படைய்ஆகக் கொண்டு , இந்திய குற்றவியல் சட்டத்தின் 409 , 420 , 468 , 477 (ஏ ) , 120 ( பி ) ஆகிய பிரிவுகளின் கீழ் , லலித் மோடி , வேணு நாயர் , ஆண்ரூ ஜார்ஜியோ , சீமஸ் ஓபிரயன் , ஹரீஷ் கிருஷ்ணமாச்சாரி , அஜய் வர்மா ஆகியோர் மீது மாநகர மத்திய குற்றப் பிரிவு போலீஸார் வழக்குப் பதிவு செய்து விசாரணையை தொடங்கிய்உள்ளனர் ."
497,மத்திய குற்றப் பிரிவு ஏடிஎஸ்பி வெங்கடேஸ்வரன் இதற்கான விசாரணை அதிகாரியாக நியமிக்கப்பட்ட்உள்ளார் .
498,இந்தியப் பயணத்தின் போது அமெரிக்க அதிபர் பராக் ஒபாமா பாகிஸ்தானுக்கு செல்ல மாட்டார் என்று தெரிய வந்த்உள்ளது .
499,இந்தியாவுக்கு அடுத்த மாதம் முதல் வாரத்தில் ஒபாமா செல்லவ்உள்ளார் இதற்கான பாதுகாப்பு ஏற்பாடுகளை அமெரிக்க அதிகாரிகள் செய்து வருகின்றனர் .
500,அவர் எந்தத் தேதியில் இந்தியாவுக்குச் செல்கிறார் என்பது இதுவரை உறுதி செய்யப்படவ்இல்லை .
501,அநேகமாக அவர் நவம்பர் 6-ம் தேதி இந்தியா செல்லல்ஆம் என்று எதிர்பார்க்கப் படுகிறது .
502,இந்தப் பயணத்தின் போது அவர் பாகிஸ்தானுக்குச் செல்ல மாட்டார் என்று வெள்ளை மாளிகை செய்திக்குறிப்பு தெரிவிக்கிறது .
503,"அடுத்த ஆண்டு அவர் பாகிஸ்தானுக்குச் செல்வார் என்ற்உம் , பாகிஸ்தான் அதிபர் ஆசிப் அலி ஜர்தாரியை வாஷிங்டன் வரும் ஆறு அவர் அழைத்த்உள்ளார் என்ற்உம் அந்தச் செய்திக்குறிப்பு தெரிவிக்கிறது ."
504,"கேரள முன்னாள் முதல்வர்உம் , காங்கிரஸ் மூத்த தலைவர்உம்ஆன கருணாகரன் காய்ச்சல் காரணம்ஆக மருத்துவமனையில் அனுமதிக்கப்பட்ட்உள்ளத்ஆக அவரது குடும்ப வட்டாரங்கள் தெரிவித்தன ."
505,93 வயத்ஆன கருணாகரனின் உடல்நிலை சீராக உள்ளது .
506,காய்ச்சல் மற்றும் சுவாசப் பிரச்னையால் அவர் அவதிப்பட்டு வருவத்ஆக மருத்துவமனை வட்டாரங்கள் தெரிவித்தன .
507,"அரசு ரப்பர் கழகம் , தேயிலை தோட்டக் கழகம் மற்றும் வனத்தோட்டக் கழகப் பணியாளர்களுக்கு 2009-2010ஆம் ஆண்டிற்க்ஆன போனஸ் வழங்க முதல்வர் உத்தரவிட்ட்உள்ளார் ."
508,"அரசு ரப்பர் கழகத் தோட்டத் தொழிலாளர்கள் 2 ஆயிரத்து 886 பேருக்க்உம் , தேயிலை தோட்டக் கழகத் தொழிலாளர்கள் 9 ஆயிரத்து 275 பேருக்க்உம் 20 சதவீத போனஸ் வழங்கிடவ்உம் ; அதுபோலவே , அரசு ரப்பர் கழகப் பணியாளர்கள் 118 பேருக்க்உம் , தேயிலை தோட்டப் பணியாளர்கள் 313 பேருக்க்உம் , வனத்தோட்டக் கழகப் பணியாளர்கள் 359 பேருக்க்உம் 20 சதவீத போனஸ் வழங்கவ்உம் முதல்வர் உத்தரவிட்ட்உள்ளார் ."
509,"இதன் காரணம்ஆக , அரசு ரப்பர் கழகம் , தேயிலை தோட்டக் கழகம் , வனத்தோட்டக் கழகம் ஆகிய மூன்று அமைப்புகளைய்உம் சேர்ந்த 12 ஆயிரத்து 951 தொழிலாளர்கள் மற்றும் பணியாளர்களுக்கு ரூ. 6 கோடியே 96 லட்சத்து 30 ஆயிரம் 2009-2010 ஆம் ஆண்டுக்க்உரிய போனஸ்ஆக வழங்க ப்படும் என தமிழக அரசு தெரிவித்த்உள்ளது ."
510,"அமெரிக்க அதிபர் ஒபாமா மும்பை மற்றும் தில்லிக்கு அடுத்த மாதம் வரவிருப்பத்ஆகத் தெரிவித்த வெள்ளை மாளிகை , அவரது பயண அட்டவணை இதுவரை இறுதிசெய்யப் படவ்இல்லை எனக் கூறிய்உள்ளது ."
511,இந்திய பயணத்தின் போது ஒபாமா பொற்கோயிலுக்கு செல்லும் திட்டம் ரத்து செய்யப்பட்டு விட்டத் ஆகக் கூறப்படுவதுகுறித்து வெள்ளை மாளிகை ஊடகச் செயலர் ராபர்ட் கிப்ஸ் இடம் செய்தியாளர்கள் கேட்டனர் .
512,அவரது பயணத்திட்டம் இதுவரை இறுதி செய்யப் படவ்இல்லை எனத் தெரிவித்தார் .
513,இந்தியா உள்ளிட்ட ஆசிய நாடுகளுக்க்ஆன ஒபாமாவின் சுற்றுப்பயண அட்டவணை அடுத்த வாரம் இறுதி செய்யப்பட்டு விடும் என்றார் அவர் .
514,இந்தியாவில் மலேரியா நோய் காரணம்ஆக ஆண்டுக்கு ஏறக்குறைய 2 லட்சம் பேர் உயிரிழப்பத்ஆக மருத்துவ இதழ்ஆன லான்செட் நடத்திய ஆய்வில் தெரியவந்த்உள்ளது .
515,உலக சுகாதார அமைப்பு இந்தியாவில் மலேரியா நோயால் ஆண்டுக்கு 15 ஆயிரம் பேர் உயிரிழப்பத்ஆக தெரிவித்த் இருந்தது .
516,ஆனால் லான்செட் இதழ் ஆண்டுக்கு 80 ஆயிரம் குழந்தைகள் உட்பட 2 லட்சம் பேர் உயிரிழப்பத்ஆகத் தெரிவித்த்உள்ளது .
517,90 சதவீத உயிரிழப்புகள் ஊரகப் பகுதிகளில் ஏற்படுகின்றன .
518,எந்த விதமான மருத்துவ சிகிச்சைய்உம் அளிக்காததால் 86 சதவீத உயிரிழப்புகள் வீட்டில்ஏயே நிகழ்வத்ஆக லான்செட் தெரிவிக்கிறது .
519,2002 முதல் 6 ஆயிரத்து 671 பகுதிகளில் இந்த ஆய்வு நடத்தப்பட்ட்உள்ளது .
520,மலேரியாவுக்கு ஒரிசாவில் தான் அதிக அளவிலான உயிரிழப்புகள் ஏற்படுகின்றன .
521,அங்கு மட்டும் ஆண்டுக்கு 50 ஆயிரம் பேர் உயிரிழக்கின்றனர் .
522,"அதற்கு அடுத்ததாக சத்தீஸ்கர் , ஜார்கண்ட் , அசாம் மாநிலங்களில் அதிக உயிரிழப்புகள் ஏற்படுவத்ஆக லான்செட் ஆய்வு முடிவில் தெரிவிக்கப்பட்ட்உள்ளது ."
523,நொய்டாவில் எச்சிஎல் ( HCள் ) நிறுவனத்தில் பணியாற்றி வந்த 35 வயது சாஃப்ட்வேர் எஞினியர் ஒருவர் புதன்கிழமை இரவு தூக்கிட்டு தற்கொலை செய்து கொண்டத்ஆக போலீசார் தெரிவித்தனர் .
524,ஹைதராபாதைச் சேர்ந்த எஞினியர் ரத்தன்குமார் நொய்டாவில் கடந்த 5 மாதங்கள்ஆக வசித்து வந்தார் .
525,வழக்கம்போல் அலுவலகத்தில் இருந்து மாலையில் வீட்டுக்கு வந்த அவர் நள்ளிரவு வரை கணிப்பொறியில் இணையதளங்களில் உலா வந்த்உள்ளார் .
526,பின்னர் அறைக்க்உள் சென்று தூக்கிட்டு தற்கொலை செய்து கொண்டத்ஆக காவல்நிலைய அதிகாரி பிரதாப் சிங் தெரிவித்தார் .
527,அவர் தற்கொலை செய்து கொண்ட போது வீட்டில் யாரும் இருக்கவ்இல்லை .
528,"அவரது மனைவி , அவர்களது மகள்உடன் பெற்றோர் வீட்டிற்கு சென்ற் இருந்தார் ."
529,தற்கொலை செய்து கொண்டதற்க்ஆன காரணம் எதுவும் அவர் எழுதிவைக்கவ்இல்லை .
530,இதுகுறித்து விசாரித்து வருகிறோம் என பிரதாப் சிங் தெரிவித்தார் .
531,"கணவன் - மனைவி போல சேர்ந்து வாழ்ந்தோம் என்று கூறி , அதற்காக ஜீவனாம்சம் கோரி வழக்கு தொடுக்க முடியாது என்று உச்ச நீதிமன்றம் வியாழக்கிழமை தீர்ப்பளித்தது ."
532,"தமிழ்நாட்டின் கோயமுத்தூரைச் சேர்ந்த டி. பச்சையம்மாள் என்பவர் டி. வேலுசாமி என்பவர்உடன் கணவன் - மனைவி போல வாழ்ந்தத்ஆகவ்உம் , வேலுசாமி இப்போது தன்னைப் புறக்கணிப்பதால் தனக்கு மாதம்தோறும் ஜீவனாம்சம் தரும் ஆறு அவருக்கு உத்தரவிட வேண்டும் என்ற்உம் வழக்கு தொடுத்தார் ."
533,"உச்ச நீதிமன்ற நீதிபதிகள் மார்க்கண்டேய கட்ஜு , டி.எஸ். தாக்கூர் அடங்கிய பெஞ்ச் மனுவை விசாரித்தது ."
534,வீட்டுக்க்உள் நடக்கும் கொடுமைகள்இலிருந்து பெண்களை அதில்உம் குறிப்பாக வீட்டு வேலை செய்யும் பெண்களைப் பாதுகாக்கும் 2005-வது சட்டத்தின் அடிப்படையில் பச்சையம்மாள் வழக்கு தொடுத்த்இருந்தார் .
535,பச்சையம்மாள் தனக்கு மனைவி அல்ல என்ற்உம் லட்சுமி என்பவர்ஏ தன்னுடைய மனைவி என்ற்உம் எதிர் வழக்காடிய வேலுசாமி வாதாடினார் .
536,"வார விடுமுறைகளில் சேர்ந்து வாழ்வத்ஓ , வாரத்துக்கு ஒரு நாள் ஒரே வீட்டில் தங்கியிருப்பத்ஓ , கணவன் - மனைவிக்கு இடையில்ஆன தாம்பத்ய உறவுக்கு ஈடாகக் கருதப்படமாட்டாது என்று கூறிய நீதிபதிகள் , கணவன் இடமிருந்து ஜீவனாம்சம் கோரும் மனைவியர் 4 அம்சங்களைப் பூர்த்தி செய்தவர்கள்ஆக இருக்க வேண்டும் என்றனர் ."
537,1. ஒரு ஆண்உம் பெண்ண்உம் வாழ்க்கைத் துணைவர்கள் என்று சமூகம் ஏற்க வேண்டும் .
538,2. இருவர்உம் திருமண வயதை எட்டியிருக்க வேண்டும் .
539,3. இருவர்உம் திருமணம் செய்து கொள்வதற்க் ஏற்ற தகுதிகள்உடன் இருக்க வேண்டும் .
540,4. இருவரும் விருப்பப்பட்ட்ஏ சில காலம் ஒன்றாகத் தங்கியிருக்க வேண்டும் ; .
541,"அதன் மூலம் அவர்களை கணவன் , மனைவியர்ஆக சமூகம் அங்கீகரிக்க வேண்டும் ."
542,இந்த நால்உம் இல்லாமல் ஒரு ஆடவனின் அழைப்பை ஏற்று அவர்உடன் கூடி வாழ்ந்தோம் என்று கூறுவதைய்எல்லாம் ஏற்று அவர்களுக்கு ஜீவனாம்சம் தர உத்தரவிட முடியாது என்று நீதிபதிகள் உறுதிபடத் தெரிவித்தனர் .
543,இந்த வழக்கில் வேலுசாமி கூறுகிறார் போல அவருக்கு லட்சுமி என்ற முதல் மனைவி இருந்தார் ஆ என்ற்உம் விசாரிக்கும் ஆறு நீதிபதிகள் உத்தரவிட்டனர் .
544,இந்தியா வகுத்த்உள்ள அணுசக்தி இழப்பீட்டு மசோதா சர்வதேச அளவில் வகுக்கப்பட்ட்உள்ள விதிமுறைகள்இலிருந்து சற்று மாறுபட்ட்உள்ளது .
545,இந்த மாறுபாடுகளை இந்தியா உடனடியாக சரி செய்ய வேண்டும் என்று இந்திய-அமெரிக்க உறவு மேம்பாடு குறித்த அறிக்கையில் குறிப்பிடப்பட்ட்உள்ளது .
546,அணு மின் நிலையங்களுக்குத் தேவைய்ஆன உபகரணங்களை அளிக்கும் நிறுவனங்கள் தான் அணு உலைகளில் விபத்து ஏற்பட்டால் பொறுப்பாக வேண்டும் .
547,இந்த நிபந்தனை 80 ஆண்டுகளுக்குப் பொருந்தும் என்று இந்திய நாடாளுமன்றத்தில் நிறைவேற்றப்பட்ட இழப்பீட்டு மசோதாவில் குறிப்பிடப்பட்ட்உள்ளது .
548,இது சர்வதேச விதிமுறைகளைக் காட்டிலும் முற்றிலும் மாறுபட்ட்உள்ளது .
549,எனவே சர்வதேச விதிமுறைகள் படி இந்தியா மாற்றம் செய்ய வேண்டும் என்று அந்த அறிக்கை தெரிவித்த்உள்ளது .
550,அமெரிக்காவின் முன்னாள் அரசியல் விவகாரத்துறை இணையமைச்சர் நிகோலஸ் பர்ன்ஸ் மற்றும் முன்னாள் வெளியுறவுத்துறை துணையமைச்சர் ரிச்சர் ஆர்மிடேஜ் மற்றும் பேராசிரியர் ரிச்சர்ட் ஃபோன்டெய்ன் ஆகியோர் சேர்ந்து தயாரித்த அறிக்கையில் இத்தகவல் வெளியாகிய்உள்ளது .
551,"இந்தியா-அமெரிக்கா இடையில்ஆன அணுசக்தி ஒப்பந்தம் Kஉறித்த்உம் , இந்த ஒப்பந்தத்தால் இரு நாடுகள் இடையில்ஆன உறவு எந்த அளவுக்கு மேம்படும் என்பது Kஉறித்த்உம் அறிக்கை தயாரித்த்உள்ளனர் ."
552,இரு நாடுகள் இடையில்ஆன ஒப்பந்தத்தை சரிவர நிறைவேற்றா விடில் அதனால் இரு நாடுகள் இடையில்ஆன உறவு கடுமையாக பாதிக்க ப்படும் .
553,"இதனால் அமெரிக்காவ்உம் , இந்தியாவ்உம் அணு சக்தி ஒப்பந்தத்தில் சர்வதேச அளவில் வகுக்கப்பட்ட்உள்ள நடைமுறைகளை சரிவர பின்பற்ற வேண்டும் என்ற்உம் அறிக்கையில் குறிப்பிடப்பட்ட்உள்ளது ."
554,"சமீபத்தில் இந்திய நாடாளுமன்றத்தில் நிறைவேற்றப்பட்ட அணு விபத்து இழப்பீட்டு மசோதா , சர்வதேச தரத்த்இலிருந்து அதிகமாக மாறுபடுகிறது ."
555,"அணு உலைகளுக்கு உதிரி பாகங்களை சப்ளை செய்யும் நிறுவனங்கள் தான் விபத்து ஏற்பட்டால் பொறுப்பேற்க வேண்டும் என்ற்உம் , இது 80 ஆண்டுகளுக்குப் பொருந்தும் என்ற்உம் தெரிவித்த்உள்ளது ."
556,இது அமெரிக்க நிறுவனங்களை மிகுந்த ஏமாற்றத்துக்குள்ளாக்கிய்உள்ளது .
557,எனவே இந்தப் பிரச்னையைத் தீர்க்க இந்தியா உடனடியாக நடவடிக்கை எடுக்க வேண்டும் .
558,"இதை நிறைவேற்றா விட்டால் இரு நாடுகள் இடையே மேற்கொள்ளப்பட்ட மிக முக்கியமான ஒப்பந்தம் செயல்படாமல் போவத்ஓடு , அரசியல் ரீதியில் இரு நாடுகள் இடையே பெரும் விரிசல் ஏற்படுவதற்க்ஆன வாய்ப்பு உள்ளது என்ற்உம் அறிக்கையில் தெரிவிக்கப்பட்ட்உள்ளது ."
559,அணு விபத்து இழப்பீடு மசோதாவில் மாற்றங்கள் செய்து எஞ்சிய பிற அணு ஆயுத பரவல் நிபந்தனைகளைய்உம் இந்தியா நிறைவேற்றினால் அது இந்தியாவுக்கு வரலாற்று ரீதியில் மிகப் பெரிய சாதனையாக இருக்கும் என்ற்உம் குறிப்பிடப்பட்ட்உள்ளது .
560,"அமெரிக்காவின் முன்னாள் அதிபர் ஜார்ஜ் புஷ் அமைச்சரவையில் மிக முக்கியமானவர்களில் ஒருவர்ஆன நிகோலஸ் பர்ன்ஸ் , இரு நாடுகள் இடையில்ஆன அணு சக்தி ஒப்பந்தம் கையெழுத்தாவதில் மிகுந்த தீவிரம் காட்டினார் ."
561,"இந்தியா கொண்டு வந்த்உள்ள அணு விபத்து இழப்பீட்டு மசோதாவால் , இரு நாடுகள் இடையில்ஆன அணுசக்தி ஒப்பந்தம் நிறைவேற்றுவதில் சந்தேகமான நிலை உருவாகிய்உள்ளது என்ற்உம் அவர் குறிப்பிட்ட்உள்ளார் ."
562,இந்திய-அமெரிக்க அணுசக்தி உடன்பாடு இருவழிச் சாலை போன்றது .
563,இதை நிறைவேற்றுவதில் இந்தியாவுக்க்உம் சில சங்கடங்கள் உள்ளன என்பதைய்உம் உணர்ந்த்உள்ளத்ஆக அவர் குறிப்பிட்டார் .
564,"அணுசக்தி ஒப்பந்தத்தை அமல்படுத்தும் போது , புதிதாக அணுசக்தி மசோதாவை கொண்டு வரல்ஆம் ."
565,ராணுவ தளவாட தயாரிப்பில் நிலவும் தடைகளை நீக்க வேண்டும் .
566,காப்புரிமை தொடர்பான விதிமீறல் விவரங்களை பேசித் தீர்த்துக் கொள்ளல்ஆம் என்ற்உம் பர்ன்ஸ் குறிப்பிட்ட்உள்ளார் .
567,"அமெரிக்கா , நார்வேயில் உள்ள புலிகள் மீண்டும் ஒருங்கிணைய முயற்சி செய்து வருகின்றனர் என்று இலங்கை பிரதமர் டி.எம். ஜெயரத்ன கூறினார் ."
568,இலங்கை நாடாளுமன்றத்தில் புதன்கிழமை நடைபெற்ற விவாதத்தில் கலந்து கொண்டு ஜெயரத்ன பேசியத்ஆவது : .
569,கடந்த ஆண்டு முள்ளிவாய்க்காலில் நடந்த இறுதிப் போரில் ராணுவம் வெற்றி பெற்றது .
570,இந்த நிலையில் அமெரிக்கா மற்றும் நார்வேயில் உள்ள புலிகள் அமைப்பைச் சேர்ந்தவர்கள் மீண்டும் ஒருங்கிணைய முயற்சித்து வருகின்றனர் .
571,"அமெரிக்கா , நார்வேயில் உள்ள புலிகள் படை தலைவர்கள் , புலிகள் புலனாய்வுப் பிரிவை மீண்டும் ஏற்படுத்த முயற்சித்து வருகின்றனர் ."
572,அது மட்டுமல்லாமல் ஆயுதப் பிரிவைய்உம் ஏற்படுத்த அவர்கள் முயற்சித்து வருகின்றனர் .
573,இலங்கையில் தனியாக ஒரு மாநிலத்தை அமைக்கும் அவர்களது திட்டத்துக்க்ஆக இதைச் செய்து வருகின்றனர் .
574,"நார்வே , அமெரிக்காவில் உள்ள புலிகள் பிரிவின் 2 தலைவர்கள்உம் இந்த காரியத்தில் மும்முரமாக ஈடுபட்டு வருகின்றனர் ."
575,சமீபத்தில் புலிகள் பயன்படுத்தி வந்த வெடிபொருட்கள் அடங்கிய ஜாக்கெட்டுகள் கைப்பற்றப்பட்ட்உள்ளன .
576,சாதாரணமாக புலிகளின் தற்கொலைப் படையைச் சேர்ந்தவர்கள் இந்த ஜாக்கெட்டுகளை அணிந்து கொண்டு மனித வெடிகுண்ட்ஆக மாறி தாக்குதல் நடத்துவர் .
577,இந்த வெடிகுண்டு ஜாக்கெட்டுகளை சமீபத்தில் பாதுகாப்புப் படையினர் கண்டறிந்து செயலிழக்கச் செய்த்உள்ளனர் .
578,தோற்கடிக்கப்பட்ட புலிகளின் தலைவர்கள் இதுபோன்ற காரியங்களில் ஈடுபட்டு வருகின்றனர் என்றார் அவர் .
579,ஆனால் புலிகள் அமைப்பை ஒருங்கிணைக்க முயற்சித்து வரும் தலைவர்களின் பெயர்களை அவர் நாடாளுமன்றத்தில் குறிப்பிடவ்இல்லை .
580,கடந்த ஆண்டு நடந்த போருக்குப் பின்னர் புலிகள் எந்தவிதத் தாக்குதலையும் நடத்தவ்இல்லை .
581,இந்த நிலையில் புலிகள் என்று சந்தேகிக்க ப்படும் நபர்களை இலங்கை ராணுவத்தினர் கைது செய்து சிறையில் அடைத்து வருகின்றனர் .
582,அவசர நிலை பிரகடன சட்டத்தை இலங்கை அரசு அமல்படுத்தி வருகிறது .
583,இந்த சட்டத்துக்கு சர்வதேச அளவில் எதிர்ப்பு இருந்த்உம்கூட அதை அரசு அமல்படுத்தி வருகிறது .
584,எதிர்க்கட்சி அரசியல் தலைவர்களை பயமுறுத்துவதற்க்ஆக இதை ஆளும் கட்சி பயன்படுத்தி வருகிறது என்று எதிர்க்கட்சிகள் குற்றம்சாட்டிய் உள்ளன .
585,"ஐ.நா. அமைப்பில் சீர்திருத்தம் கொண்டுவரும் விஷயத்தில் செய்ய வேண்டியவை ஏராளம் உள்ளது என முன்னாள் மத்திய அமைச்சர்உம் , ஐ.நா. அமைப்புடன் பல ஆண்டுகள் தொடர்புடையவர்உம்ஆன சசி தரூர் தெரிவித்தார் ."
586,நாடாளுமன்ற உறுப்பினர்கள் சிலருடன் அவர் ஐ.நா. சென்ற்உள்ளார் .
587,ஐ.நா. அமைப்பில் பல்வேறு சீர்திருத்தங்கள் கொண்டுவரப்பட வேண்டும் என இந்தியா வலியுறுத்தி வருகிறது .
588,ஐ.நா. அமைப்பில் சீர்திருத்தம் கொண்டு வருவது என்பது முடியாதது ஒன்ற்உம் இல்லை .
589,ஆனால் அது எப்போதைக்கு சாத்தியம் என்பதை நாம் பார்க்க வேண்டும் என்றார் .
590,இப்போது நடந்து வரும் பேச்சுகள் தூண்டுதல்ஆக உள்ளது .
591,"ஆனால் , நடைபெறும் பேச்சுவார்த்தையைய்உம் , மாற்று யோசனைகளைய்உம் பார்க்கும் போது சீர்திருத்த விஷயத்தில் நாம் இன்னும் எடுக்க வேண்டிய நடவடிக்கைகள் ஏராளம் உள்ளன என்ற்ஏ சொல்ல வேண்டும் ."
592,1995ல் அப்போதைய ஐ.நா. பொதுச்சபை தலைவர்உம் மலேசிய நாட்டவர்உம்ஆன ரஸôலி இஸ்மாயில் தயாரித்த வரைவு தீர்மானத்தைய்உம் இப்போது நடக்கும் பேச்சுவார்த்தையைய்உம் பார்க்கும் போது நாம் இந்த விஷயத்தில் மிகவும் பின்தங்கி விட்டது தெரிகிறது .
593,நமது எதிர்பார்ப்புகளை நிறைவேற்றக் கூடியத்ஆக வரைவு தீர்மானம் இருந்தது .
594,ஆனால் அப்போது அதை நிறைவேற்ற முடியாமல் போனது .
